Commission,Category,Geography,Date,Evaluation,Resignations,CumeResignations,Population
Yes,Sales,Africa,01/31/13,B,5,5,52
Yes,Sales,Africa,02/28/13,B,8,13,72
Yes,Sales,Africa,03/31/13,B,8,21,68
Yes,Sales,Africa,04/30/13,B,13,34,85
Yes,Sales,Africa,05/31/13,B,10,44,68
Yes,Sales,Africa,06/30/13,B,10,54,55
Yes,Sales,Africa,07/31/13,B,13,67,65
Yes,Sales,Africa,08/31/13,B,9,76,55
Yes,Sales,Africa,09/30/13,B,9,85,55
Yes,Sales,Africa,10/31/13,B,9,94,65
Yes,Sales,Africa,11/30/13,B,8,102,59
Yes,Sales,Africa,12/31/13,B,5,107,55
Yes,Sales,North America,01/31/10,B,21,21,192
Yes,Sales,North America,02/28/10,B,20,41,163
Yes,Sales,North America,03/31/10,B,27,68,198
Yes,Sales,North America,04/30/10,B,33,101,182
Yes,Sales,North America,05/31/10,B,32,133,189
Yes,Sales,North America,06/30/10,B,38,171,185
Yes,Sales,North America,07/31/10,B,40,211,172
Yes,Sales,North America,08/31/10,B,34,245,185
Yes,Sales,North America,09/30/10,B,37,282,202
Yes,Sales,North America,10/31/10,B,27,309,172
Yes,Sales,North America,11/30/10,B,26,335,176
Yes,Sales,North America,12/31/10,B,19,354,176
Yes,Sales,North America,01/31/11,B,17,17,159
Yes,Sales,North America,02/28/11,B,18,35,150
Yes,Sales,North America,03/31/11,B,19,54,146
Yes,Sales,North America,04/30/11,B,26,80,146
Yes,Sales,North America,05/31/11,B,25,105,156
Yes,Sales,North America,06/30/11,B,26,131,133
Yes,Sales,North America,07/31/11,B,31,162,140
Yes,Sales,North America,08/31/11,B,30,192,172
Yes,Sales,North America,09/30/11,B,26,218,146
Yes,Sales,North America,10/31/11,B,24,242,159
Yes,Sales,North America,11/30/11,B,14,256,101
Yes,Sales,North America,12/31/11,B,14,270,133
Yes,Sales,North America,01/31/12,B,17,17,114
Yes,Sales,North America,02/28/12,B,20,37,124
Yes,Sales,North America,03/31/12,B,20,57,114
Yes,Sales,North America,04/30/12,B,29,86,117
Yes,Sales,North America,05/31/12,B,27,113,120
Yes,Sales,North America,06/30/12,B,30,143,111
Yes,Sales,North America,07/31/12,B,35,178,114
Yes,Sales,North America,08/31/12,B,27,205,111
Yes,Sales,North America,09/30/12,B,26,231,107
Yes,Sales,North America,10/31/12,B,24,255,114
Yes,Sales,North America,11/30/12,B,19,274,94
Yes,Sales,North America,12/31/12,B,15,289,101
Yes,Sales,North America,01/31/13,B,9,9,94
Yes,Sales,North America,02/28/13,B,8,17,78
Yes,Sales,North America,03/31/13,B,10,27,85
Yes,Sales,North America,04/30/13,B,11,38,72
Yes,Sales,North America,05/31/13,B,11,49,72
Yes,Sales,North America,06/30/13,B,14,63,78
Yes,Sales,North America,07/31/13,B,15,78,78
Yes,Sales,North America,08/31/13,B,10,88,65
Yes,Sales,North America,09/30/13,B,14,102,88
Yes,Sales,North America,10/31/13,B,10,112,72
Yes,Sales,North America,11/30/13,B,8,120,65
Yes,Sales,North America,12/31/13,B,6,126,65
Yes,Sales,South America,01/31/10,B,6,6,52
Yes,Sales,South America,02/28/10,B,6,12,49
Yes,Sales,South America,03/31/10,B,6,18,42
Yes,Sales,South America,04/30/10,B,7,25,36
Yes,Sales,South America,05/31/10,B,7,32,36
Yes,Sales,South America,06/30/10,B,11,43,52
Yes,Sales,South America,07/31/10,B,10,53,42
Yes,Sales,South America,08/31/10,B,8,61,39
Yes,Sales,South America,09/30/10,B,9,70,46
Yes,Sales,South America,10/31/10,B,8,78,49
Yes,Sales,South America,11/30/10,B,7,85,46
Yes,Sales,South America,12/31/10,B,7,92,59
Yes,Sales,South America,01/31/11,B,4,4,29
Yes,Sales,South America,02/28/11,B,4,8,33
Yes,Sales,South America,03/31/11,B,4,12,26
Yes,Sales,South America,04/30/11,B,6,18,29
Yes,Sales,South America,05/31/11,B,5,23,29
Yes,Sales,South America,06/30/11,B,6,29,26
Yes,Sales,South America,07/31/11,B,7,36,29
Yes,Sales,South America,08/31/11,B,6,42,29
Yes,Sales,South America,09/30/11,B,4,46,20
Yes,Sales,South America,10/31/11,B,5,51,29
Yes,Sales,South America,11/30/11,B,4,55,26
Yes,Sales,South America,12/31/11,B,3,58,20
Yes,Sales,South America,01/31/12,B,2,2,13
Yes,Sales,South America,02/28/12,B,2,4,10
Yes,Sales,South America,03/31/12,B,1,5,3
Yes,Sales,South America,04/30/12,B,3,8,10
Yes,Sales,South America,05/31/12,B,3,11,10
Yes,Sales,South America,06/30/12,B,4,15,13
Yes,Sales,South America,07/31/12,B,2,17,7
Yes,Sales,South America,08/31/12,B,2,19,7
Yes,Sales,South America,09/30/12,B,1,20,3
Yes,Sales,South America,10/31/12,B,2,22,7
Yes,Sales,South America,11/30/12,B,2,24,7
Yes,Sales,South America,12/31/12,B,1,25,3
Yes,Sales,South America,01/31/13,B,2,2,13
Yes,Sales,South America,02/28/13,B,2,4,13
Yes,Sales,South America,03/31/13,B,1,5,7
Yes,Sales,South America,04/30/13,B,2,7,10
Yes,Sales,South America,05/31/13,B,1,8,7
Yes,Sales,South America,06/30/13,B,2,10,7
Yes,Sales,South America,07/31/13,B,2,12,10
Yes,Sales,South America,08/31/13,B,1,13,7
